Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
,Georgia,1/20/2025,42.3154,43.3569,1642242,16671,,0.0,0.0
Baden-Wurttemberg,Germany,1/20/2025,48.6616,9.3501,2717420,14790,,0.0,0.0
Bayern,Germany,1/20/2025,48.7904,11.4979,3551404,22093,,0.0,0.0
Berlin,Germany,1/20/2025,52.52,13.405,840010,4319,,0.0,0.0
Brandenburg,Germany,1/20/2025,52.4125,12.5316,628833,5340,,0.0,0.0
Bremen,Germany,1/20/2025,53.0793,8.8017,135555,705,,0.0,0.0
Hamburg,Germany,1/20/2025,53.5511,9.9937,402894,2350,,0.0,0.0
Hessen,Germany,1/20/2025,50.6521,9.1624,1279250,9483,,0.0,0.0
Mecklenburg-Vorpommern,Germany,1/20/2025,53.6127,12.4296,342257,1901,,0.0,0.0
Niedersachsen,Germany,1/20/2025,52.6367,9.8451,1420058,7798,,0.0,0.0
Nordrhein-Westfalen,Germany,1/20/2025,51.4332,7.6616,3807191,23126,,0.0,0.0
Rheinland-Pfalz,Germany,1/20/2025,50.1183,7.309,759480,5151,,0.0,0.0
Saarland,Germany,1/20/2025,49.3964,7.023,213507,1477,,0.0,0.0
Sachsen,Germany,1/20/2025,51.1045,13.2017,1174030,14540,,0.0,0.0
Sachsen-Anhalt,Germany,1/20/2025,51.9503,11.6923,537449,4911,,0.0,0.0
Schleswig-Holstein,Germany,1/20/2025,54.2194,9.6961,432426,2223,,0.0,0.0
Thuringen,Germany,1/20/2025,51.011,10.8453,530619,6726,,0.0,0.0
Unknown,Germany,1/20/2025,,,37652,0,,0.0,0.0
,Ghana,1/20/2025,7.9465,-1.0232,160863,1445,,0.0,0.0
,Greece,1/20/2025,39.0742,21.8243,2812182,26995,,0.0,0.0
,Grenada,1/20/2025,12.1165,-61.679,13936,217,,0.0,0.0
,Guatemala,1/20/2025,15.7835,-90.2308,816653,17241,,0.0,0.0
,Guinea,1/20/2025,9.9456,-9.6966,36459,440,,0.0,0.0
,Guinea-Bissau,1/20/2025,11.8037,-15.1804,8113,169,,0.0,0.0
,Guyana,1/20/2025,4.860416000000002,-58.93018000000001,63195,1226,,0.0,0.0
,Haiti,1/20/2025,18.9712,-72.2852,30509,827,,0.0,0.0
,Holy See,1/20/2025,41.9029,12.4534,29,0,,0.0,0.0
,Honduras,1/20/2025,15.2,-86.2419,418300,10857,,0.0,0.0
,Hungary,1/20/2025,47.1625,19.5033,1829928,45095,,0.0,0.0
,Iceland,1/20/2025,64.9631,-19.0208,173796,91,,0.0,0.0
Andaman and Nicobar Islands,India,1/20/2025,11.225999,92.968178,10029,129,,0.0,0.0
Andhra Pradesh,India,1/20/2025,15.9129,79.74,2319267,14730,,0.0,0.0
Arunachal Pradesh,India,1/20/2025,27.768456,96.384277,64484,296,,0.0,0.0
Assam,India,1/20/2025,26.357149,92.830441,724192,6639,,0.0,0.0
Bihar,India,1/20/2025,25.679658,85.60484,830419,12256,,0.0,0.0
Chandigarh,India,1/20/2025,30.733839,76.76827800000002,91892,1165,,0.0,0.0
Chhattisgarh,India,1/20/2025,21.264705,82.035366,1151939,14034,,0.0,0.0
Dadra and Nagar Haveli and Daman and Diu,India,1/20/2025,20.194742,73.080901,11441,4,,0.0,0.0
Delhi,India,1/20/2025,28.646519,77.10898,1863899,26147,,0.0,0.0
Goa,India,1/20/2025,15.359682,74.057396,245253,3830,,0.0,0.0
